ptl,etal,energyl,ptj,etaj,energyj,massj,mjj,rjj,rjl,met,n21_1,n21_2,n32_1,n32_2,infl,drfl
234.882,1.16078,411.708,138.71,-0.214536,144.706,28.2904,375.103,2.70438,2.6323,359.449,0.0343719,0.231214,0.223944,0.511577,204.001,3.10246
271.984,0.349347,288.751,157.836,-0.265547,164.073,14.4736,243.341,1.79215,1.18502,285.592,0.349248,0.423652,0.678977,0.706794,321.175,1.08706
143.34,-2.06603,574.804,333.699,-2.06186,1333.85,53.8145,809.098,3.63214,0.154918,2625.12,0.0541223,0.255574,0.432616,0.645169,228.604,2.99053
167.61,-1.20763,305.421,500.609,-0.823146,680.935,35.6188,749.918,1.17988,3.03679,1360.99,0.160523,0.440453,0.433023,0.693675,23.1769,0.0193231
203.017,0.823146,275.768,189.229,0.347986,202.7,27.6718,168.114,0.957486,0.85587,262.351,0.284147,0.36542,0.439919,0.538328,267.677,3.57189
308.558,-1.2031,560.139,249.986,0.962589,376.621,34.6415,572.029,2.50305,2.19133,741.974,0.181864,0.320345,0.277272,0.497907,270.402,2.46646
275.871,0.621813,330.945,402.92,1.14068,699.359,80.2738,742.971,0.807885,2.98201,2207.67,0.370812,0.405499,0.409182,0.556853,664.588,1.58474
232.708,-0.507508,263.325,142.263,0.14432,146.848,30.0184,153.041,1.44601,3.13018,232.456,0.161203,0.285392,0.294757,0.512874,220.542,1.35158
138.329,-0.406577,149.921,130.79,0.0746547,132.233,16.8513,245.605,1.88723,2.4428,542.401,0.0811984,0.590956,0.0639403,0.0942192,229.829,2.44032
148.88,0.550113,171.982,463.215,1.06664,753.16,27.2147,2012.1,3.63301,2.06132,1832.76,0.13479,0.362567,0.695593,0.766485,0.530766,0.0035637
120.419,-0.703598,151.476,232.664,0.376955,250.472,23.2402,262.533,1.66198,3.27651,560.048,0.233274,0.358675,0.433451,0.482482,117.014,1.90675
123.25,0.574384,144.147,278.22,1.20298,506.905,43.7519,221.808,1.22572,0.86256,482.549,0.194307,0.418768,0.553124,0.605189,111.698,2.01444
133.784,-0.212223,136.808,279.455,-0.151797,287.047,49.8781,357.039,3.11178,0.107652,123.909,0.404725,0.475141,0.376592,0.445859,222.018,2.58071
197.406,-0.95029,293.453,178.064,-1.56055,442.789,12.2531,184.057,1.70305,2.34999,1731.8,0.521203,0.529315,0.249067,0.40952,216.401,2.41842
207.674,-1.88934,702.576,173.147,-0.753114,225.586,20.9176,83.4239,0.550531,3.25506,1610.28,0.146785,0.521476,0.0897449,0.476148,41.9152,0.381192
257.237,-1.54014,627.609,281.968,-1.5794,715.944,63.5395,302.789,1.21639,2.74472,1684.19,0.0130005,0.466147,0.0696827,0.328832,238.594,1.55277
266.846,1.4314,590.202,264.905,0.862746,373.492,52.6474,98.9401,0.587092,0.597249,1629.45,0.273204,0.426113,0,0.563365,185.683,2.30134
227.375,-1.04081,362.059,194.646,2.36209,1042.79,38.8517,200.241,1.05883,0.565929,251.462,0.197416,0.381759,0.388871,0.438518,252.633,3.18542
156.969,1.2855,305.541,137.274,0.161227,140.135,17.3047,94.5695,1.05492,1.12465,652.195,0.387719,0.789142,0.547746,0.696795,242.904,3.21726
190.515,-1.05551,306.869,279.598,0.931859,411.336,32.6623,193.925,0.866749,1.98743,352.407,0.16205,0.334838,0.249408,0.681629,164.571,0.194602
154.438,0.0795348,154.927,327.257,-1.23963,612.796,15.5994,175.659,1.42709,1.32452,1308.54,0.351722,0.629169,0.408767,0.638534,85.4573,1.07258
193.479,-0.40043,209.199,129.521,1.34407,265.728,16.4159,88.1584,0.709901,1.75439,554.783,0.107584,0.303511,0.601466,0.706378,152.647,1.50783
225.176,-1.25203,425.96,144.628,0.317352,153.255,19.7898,938.97,1.46111,3.28828,2568.41,0.429816,0.665765,0.508954,0.546361,287.251,2.75664
119.872,-0.814183,161.848,246.32,0.324954,259.643,10.2659,661.843,3.69085,2.90712,2600.89,0.153946,0.400656,0.379187,0.497643,232.142,2.91205
127.947,-0.609514,152.459,203.142,0.840548,280.206,23.3746,243.492,2.58498,2.96651,371.339,0.432152,0.574371,0.296949,0.33004,119.237,1.71311
225.39,-0.881594,318.8,140.914,1.25824,268.336,13.9179,153.595,1.14744,2.14578,434.526,0.452232,0.76903,0.643734,0.954432,338.445,0.96923
231.34,-0.296396,241.576,171.758,0.296149,180.284,18.3815,411.152,2.58661,1.10721,1183.95,0,0.271668,0.547434,0.54839,522.777,1.73994
140.68,1.07955,230.933,156.622,-0.259283,165.9,36.1407,89.3596,0.790213,1.37214,229.038,0.308627,0.610853,0.167956,0.665632,80.7938,1.02189
348.409,-0.580251,408.727,702.649,-1.60368,1817.78,45.2063,1455.12,2.86185,1.30186,389.127,0.327929,0.371159,0.268127,0.365128,1686.95,2.35327
176.216,-0.078447,176.759,340.854,0.63461,412.535,24.1943,90.2765,0.599788,0.713157,241.694,0.114176,0.263272,0.503296,0.727013,198.065,1.9276
321.535,1.06454,521.593,357.81,0.722158,457.899,49.306,362.665,1.50669,0.610815,1150.45,0.29864,0.539803,0.41234,0.544879,461.081,2.21433
121.48,0.940872,179.335,183.706,0.562656,213.94,12.7418,209.337,1.73309,2.4484,151.925,0.109952,0.534702,0.184717,0.461241,241.835,1.13642
152.954,0.204327,156.158,185.212,-0.828564,252.69,9.54982,164.273,1.89041,1.04817,421.246,0.377983,0.473408,0.388587,0.389002,177.608,3.09155
111.51,1.71372,319.461,165.052,0.934297,243.618,23.4726,238.052,2.58957,2.55634,767.621,0.320087,0.516754,0.63553,0.689383,489.489,1.17481
189.219,-1.41043,410.773,57.2272,-1.33784,117.153,11.8708,66.0285,2.2214,2.52161,165.064,0.112759,0.399851,0.195301,0.313484,178.322,2.79943
155.216,-1.04317,247.611,224.202,-1.36786,469.448,25.4263,275.687,2.24847,0.538282,736.207,0.386127,0.479548,0.469503,0.551662,159.191,0.772293
233.796,-1.41687,510.453,244.091,-0.853742,338.958,15.9534,90.8196,2.73168,0.563136,876.447,0.0794205,0.51224,0.405262,0.589911,44.7945,0.0218141
204.767,0.635564,247.535,265.789,1.44261,593.975,15.3776,196.079,1.44916,0.831697,106.681,0.133527,0.608809,0.3137,0.743948,97.5123,2.73783
211.618,-0.0130329,211.636,586.426,-0.103273,590.12,25.7805,1053.97,1.14606,2.42269,544.744,0.151543,0.43666,0.479456,0.749282,4.56915,0.0215862
213.5,-0.453777,235.861,121.963,-0.406291,133.234,16.8219,150.805,1.28271,0.277438,871.457,0.157115,0.25846,0.354085,0.476907,268.678,1.8605
